words,2000,2010,2020,1950,1960,1970,1980,1990
abaixo,6,1,0,0,1,4,2,3
abala,6,1,0,0,0,3,0,2
abalou,3,0,0,2,0,1,0,3
abandona,3,2,1,1,1,0,1,4
abandonada,3,1,0,2,0,1,3,3
abandonado,10,6,0,2,2,3,2,6
abandonar,9,4,1,2,0,2,2,13
abandone,3,1,0,0,1,1,3,4
abandono,7,5,0,2,1,2,5,10
abandonou,15,7,0,2,6,3,0,9
abelha,6,2,0,5,4,4,14,6
abençoar,1,0,0,3,2,1,0,2
abençoe,3,0,0,2,1,0,0,3
abençoou,2,1,0,0,2,2,6,2
aberta,11,5,3,2,5,6,5,3
aberto,11,4,0,3,1,10,4,16
abertos,2,3,0,2,1,3,1,6
abismo,4,2,0,0,0,1,1,3
aboiando,1,0,0,3,0,2,2,6
aboiar,4,1,0,1,2,1,0,4
aboio,1,1,0,7,4,6,4,4
abra,9,3,0,0,1,9,2,10
abrace,9,3,0,1,2,1,2,7
abraça,51,10,1,2,6,7,13,32
abraçado,7,1,0,1,2,1,0,2
abraçados,7,0,0,1,0,1,0,3
abraçando,4,4,0,0,1,1,3,6
abraçar,65,13,3,5,8,22,15,54
abraçava,3,0,1,0,0,2,3,4
abraço,66,25,0,9,14,18,33,54
abraços,15,6,0,0,1,3,3,16
abraçou,5,0,0,1,1,1,2,4
abre,24,11,0,7,7,6,5,16
abri,8,4,0,0,5,1,0,5
abria,4,0,0,0,2,0,2,2
abrigo,11,3,0,1,6,7,3,10
abril,3,0,0,3,4,2,0,2
abrindo,8,0,0,2,0,4,1,8
abrir,33,11,1,4,0,5,3,19
abriu,7,1,1,4,2,5,4,8
abro,9,10,0,2,0,3,3,12
absurdo,7,1,0,0,0,2,0,4
abusou,7,1,0,1,2,2,1,5
acaba,44,24,0,9,14,13,12,39
acabado,6,3,0,4,1,0,5,8
acabam,3,0,0,0,1,1,0,4
acabando,14,3,0,9,3,6,3,10
acabar,100,33,4,31,33,32,37,99
acabe,6,2,0,3,5,3,6,9
acabei,8,6,0,1,0,0,3,8
acabo,7,5,0,3,7,6,4,5
acabou,138,53,6,24,17,21,20,96
acalma,10,6,0,0,1,2,0,1
acalmar,11,2,0,0,3,2,2,3
acanhado,3,1,0,1,1,0,1,2
